Fecha,T_Media_General,T_Media_Cerro_Prieto,T_Media_El_Cuchillo,T_Media_La_Boca,T.Max_General,T_Max_Cerro_Prieto,T_Max_El_Cuchillo,T_Max_La_Boca,T.Min_General,T_Min_Cerro_Prieto,T_Min_El_Cuchillo,T_Min_La_Boca,V_Media_Viento,Rachas_Max,Presion_Media,Precip_General,Precip_Cerro_Prieto,Precip_El_Cuchillo,Precip_La_Boca,Evap_Cerro_Prieto,Evap_El_Cuchillo,Ciclon_Is,Ciclon_VS,Ciclon_R,Niveles_P,Niveles_NP,Consumo_Clientes_industriales_AMM,Consumo_Clientes_industriales_MNM,Consumo_clientes_industriales_fact,Poblacion,PIB
01/01/2015,12,1671774,1694355,1662097,30,2201613,2212903,2217742,2,1141935,1175806,1106452,43595,NaN,1024.1,43732,1343318,148387,1103226,2806452,3190323,0,0,0,31605120,104077,NaN,NaN,NaN,4888777.6,17061945
01/02/2015,14,1649107,1808036,16875,32,2151786,24125,2239286,3,1146429,1203571,1135714,43535,37,1020.6,33.2,614796,365019,1325,3460714,3646429,0,0,0,28902182,1500,NaN,NaN,NaN,4892633.16,17061945
01/03/2015,17,203871,2139516,2015323,30,43610,2803226,2583871,5,1527419,1475806,1446774,43625,48.2,1020,84.7,2840093,2313896,2083871,3696774,4474194,0,0,0,32381856,55751,NaN,NaN,NaN,4896488.72,17061945
01/04/2015,23,2261667,23525,43488,36,2773333,2948333,2893333,12,43602,1756667,1726667,43627,55.6,1014.1,80.9,2861905,4150684,1933333,4203333,5273333,0,0,0,31886784,107975,NaN,NaN,NaN,4900344.27,17240485
01/05/2015,25,24,2570968,2432258,35,2875806,3167742,29,14,1924194,1974194,1964516,43597,63,1014.7,126.4,6982028,3726469,3019355,5593579,5912903,1,0,0,34098710,117885,NaN,NaN,NaN,4904199.83,17240485
01/06/2015,27,25,2714167,24925,34,2991667,3328333,43706,17,2008333,21,43605,43478,66.7,1015.6,89.7,3764286,1916667,5563333,5626667,6266667,1,95,110,34807968,116634,NaN,NaN,NaN,4908055.38,17240485
01/07/2015,29,2749194,2866129,2765323,37,3354839,3593548,3420968,20,2143548,213871,2109677,14,NaN,1015.5,43606,903226,406452,703226,7719355,8151613,1,95,110,37864541,76911,NaN,NaN,NaN,4911910.94,17446512
01/08/2015,29,2658065,2791935,2662097,38,3269355,3540323,3358065,18,2046774,2043548,1966129,43658,NaN,1015.3,42.9,1839171,1019686,1745161,6806452,7341935,1,136.67,161.67,38523427,43411,NaN,NaN,NaN,4915766.5,17446512
01/09/2015,28,2513333,26725,43490,36,3068333,33.9,31,16,1958333,19.55,43515,43477,44.4,1015.3,64.8,1.92,1640684,2953333,5623333,43561,1,113.33,105,35119008,40093,NaN,NaN,NaN,4919622.05,17446512
01/10/2015,24,2378226,2495161,2312097,38,2922581,3191935,2879032,14,1833871,1798387,1745161,43536,37,1016.5,89.4,4602305,2155501,3990323,4212903,5306452,1,250,305,34722778,76563,NaN,NaN,NaN,4923477.61,17437427
