"","Young","Old"
"C14orf23",0.220182199454088,0.20953907658845
"C14orf28",7.14953278924845,7.0727124735477
"C14orf2",11.2916789146127,11.2529524380947
"C14orf33",6.38253474907588,6.35385937214226
"C14orf34",2.73322154095749,2.62855459926068
"C14orf37",6.27700778526511,6.06672471446265
"C14orf39",0.0778696577837144,0.127721369247979
"C14orf43",10.4565308630205,10.526218101516
"C14orf45",6.39228941782927,6.34161200328049
"C14orf48",0.0419826951742574,0.0367749216218058
"C14orf49",5.11887050202658,5.06962876696577
"C14orf4",9.99941718113689,10.042074086551
"C14orf50",6.4205210523055,6.46498549421054
"C14orf53",1.68045434140251,2.11608844787093
"C14orf64",2.7663828239707,2.45558303251214
"C14orf68",2.07285650115088,2.00481773015375
"C14orf70",0.343946226095506,0.224145047149771
"C14orf72",5.36532554730809,5.10710497665267
"C14orf73",6.68004752318755,6.65350097707325
"C14orf79",8.43454404440928,8.31129644267324
"C14orf80",9.1894879090911,9.09735885397631
"C14orf86",0.0074812954879366,0.0138649946509175
"C14orf93",8.80849088589677,8.75694692472155
"C15orf17",10.1936624884063,10.2239322235799
"C15orf21",6.89830418024451,6.85565419049549
"C15orf23",9.63028016892688,9.64476330587269
"C15orf24",10.9554603603459,10.9545274839623
"C15orf26",1.28621802521967,1.29337994855493
"C15orf27",4.13031804775185,3.94462474928493
"C15orf28",2.29882641879781,2.12541785155131
"C15orf29",9.38996719410702,9.40687416048201
"C15orf2",0.191266378845468,0.239586095717952
"C15orf32",0.0316138035910356,0.0168367706548913
"C15orf33",4.03582798574252,4.0963439291706
"C15orf34",4.06231530966399,4.03489229807026
"C15orf37",6.50310835962216,6.44215284939409
"C15orf38",9.36106026662113,9.2262944459637
"C15orf39",10.9185215795244,11.0014718543038
"C15orf40",8.63449368671266,8.58729892604333
"C15orf41",7.90669980024832,8.09020670454361
"C15orf42",8.99749287182255,9.09229770463793
"C15orf43",0,0.0172905410232259
"C15orf44",10.9970015950503,11.0125834427244
"C15orf48",11.4868475751313,11.6350078171931
"C15orf50",0.329327169166969,0.26583968560962
"C15orf51",1.79695104775545,1.64278653349342
"C15orf52",9.04481809919079,9.10402829955193
"C15orf53",0.630999282113497,0.847721535775767
"C15orf54",1.09834081303151,0.964346881803123
"C15orf55",0.792841588346291,0.789799581932639
"C15orf56",3.20277675484574,3.03992355991251
"C15orf57",9.56743563226617,9.57384511101779
"C15orf58",6.54096085815917,6.51705033724923
