"","Pvalues"
"APLP1",0.159777629975419
"APLP2",0.329792744069646
"APOA1BP",0.756531109392103
"APOA1",0.457858771255957
"APOA2",0.273900102577379
"APOA4",0.577470831557418
"APOA5",0.135629854291765
"APOB48R",0.413173832847429
"APOBEC1",0.462580972594098
"APOBEC2",0.60294457733543
"APOBEC3A",0.615891119665702
"APOBEC3B",0.296480537676324
"APOBEC3C",0.959376807629504
"APOBEC3D",0.776480078695924
"APOBEC3F",0.124429661296335
"APOBEC3G",0.486159521210983
"APOBEC3H",0.053352164120569
"APOBEC4",0.603324444413977
"APOB",0.223722528639936
"APOC1P1",0.774428196825168
"APOC1",0.302477482460025
"APOC2",0.211065341316903
"APOC3",0.085148550903791
"APOC4",0.272999865409044
"APOD",0.286218300786866
"APOE",0.328430581692413
"APOF",0.369723463022919
"APOH",0.0172314887535306
"APOL1",0.656683825727492
"APOL2",0.25336907173388
"APOL3",0.272051300125709
"APOL4",0.857142098544914
"APOL5",0.778182857117246
"APOL6",0.599306554457376
"APOLD1",0.380910064200309
"APOM",0.0679704074246161
"APOOL",0.561156850651403
"APOO",0.513076260863999
"APPBP2",0.407449367029079
"APPL1",0.248195536795499
"APPL2",0.379419443718931
"APP",0.168570784805038
"APRT",0.0913792769748771
"APTX",0.531104394006111
"AQP10",0.839541230177807
"AQP11",0.674791320415803
"AQP12A",0.72786229859809
"AQP12B",0.255178149382419
"AQP1",0.088018470249628
"AQP2",0.976606058467922
"AQP3",0.112335772703681
"AQP4",0.154987250124958
"AQP5",0.922390657115646
"AQP6",0.818230426573602
"AQP7P1",0.849382921523682
"AQP7P3",0.127177789908461
"AQP7",0.0821593022807703
"AQP8",0.455729832522226
"AQP9",0.992267234898444
"AQPEP",0.478622827080731
"AQR",0.785898937041371
"ARAF",0.292335059231836
"ARAP1",0.147893344855707
"ARAP2",0.363016144031304
"ARAP3",0.778467806271521
"ARCN1",0.486278653846366
"ARC",0.788567658903974
"AREG",0.204552025519882
"ARF1",0.140533860287806
"ARF3",0.470054507115243
"ARF4",0.315741661405586
"ARF5",0.703602973481125
"ARF6",0.25517982625416
"ARFGAP1",0.881260636220647
"ARFGAP2",0.739736705535898
"ARFGAP3",0.573306833664577
"ARFGEF1",0.0903485276959278
"ARFGEF2",0.545334092825379
"ARFIP1",0.797995689524116
"ARFIP2",0.515239847542802
"ARFRP1",0.724553026405139
"ARG1",0.630141489881272
"ARG2",0.23083156390256
"ARGFXP2",0.460652424103167
"ARGFX",0.197112818967059
"ARGLU1",0.139740732597366
"ARHGAP10",0.430758494911553
"ARHGAP11A",0.605882750108486
"ARHGAP11B",0.923718991383289
"ARHGAP12",0.965379214496993
"ARHGAP15",0.380117594266059
"ARHGAP17",0.240443010240632
"ARHGAP18",0.454237952795912
"ARHGAP19",0.285930424450601
"ARHGAP1",0.372383541678784
"ARHGAP20",0.39348072536397
"ARHGAP21",0.139190556668329
"ARHGAP22",0.984205719861115
"ARHGAP23",0.4239572338362
"ARHGAP24",0.408594879363076
"ARHGAP25",0.87210397191821
"ARHGAP26",0.585354033908849
"ARHGAP27",0.139330575209237
"ARHGAP28",0.0477693241200533
"ARHGAP29",0.699069331161896
"ARHGAP30",0.930824147278726
